CustomerKey,AltCustomerKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,DateFirstPurchase,CommuteDistance
21000,11000,Jon,Yang,4/8/1966 0:00,M,M,jon24@adventure-works.com,90000,2,Bachelors,Professional,1,0,3761 N. 14th St,7/22/2001 0:00,1-2 Miles
21001,11001,Eugene,Huang,5/14/1965 0:00,S,M,eugene10@adventure-works.com,60000,3,Bachelors,Professional,0,1,2243 W St.,7/18/2001 0:00,0-1 Miles
21002,11002,Ruben,Torres,8/12/1965 0:00,M,M,ruben35@adventure-works.com,60000,3,Bachelors,Professional,1,1,5844 Linden Land,7/10/2001 0:00,2-5 Miles
21003,11003,Christy,Zhu,2/15/1968 0:00,S,F,christy12@adventure-works.com,70000,0,Bachelors,Professional,0,1,1825 Village Pl.,7/1/2001 0:00,5-10 Miles
21004,11004,Elizabeth,Johnson,8/8/1968 0:00,S,F,elizabeth5@adventure-works.com,80000,5,Bachelors,Professional,1,4,7553 Harness Circle,7/26/2001 0:00,1-2 Miles
21005,11005,Julio,Ruiz,8/5/1965 0:00,S,M,julio1@adventure-works.com,70000,0,Bachelors,Professional,1,1,7305 Humphrey Drive,7/2/2001 0:00,5-10 Miles
21006,11006,Janet,Alvarez,12/6/1965 0:00,S,F,janet9@adventure-works.com,70000,0,Bachelors,Professional,1,1,2612 Berry Dr,7/27/2001 0:00,5-10 Miles
21007,11007,Marco,Mehta,5/9/1964 0:00,M,M,marco14@adventure-works.com,60000,3,Bachelors,Professional,1,2,942 Brook Street,7/12/2001 0:00,0-1 Miles
21008,11008,Rob,Verhoff,7/7/1964 0:00,S,F,rob4@adventure-works.com,60000,4,Bachelors,Professional,1,3,624 Peabody Road,7/28/2001 0:00,10+ Miles
21009,11009,Shannon,Carlson,4/1/1964 0:00,S,M,shannon38@adventure-works.com,70000,0,Bachelors,Professional,0,1,3839 Northgate Road,7/30/2001 0:00,5-10 Miles
21010,11010,Jacquelyn,Suarez,2/6/1964 0:00,S,F,jacquelyn20@adventure-works.com,70000,0,Bachelors,Professional,0,1,7800 Corrinne Court,7/17/2001 0:00,5-10 Miles
21011,11011,Curtis,Lu,11/4/1963 0:00,M,M,curtis9@adventure-works.com,60000,4,Bachelors,Professional,1,4,1224 Shoenic,7/2/2001 0:00,10+ Miles
21012,11012,Lauren,Walker,1/18/1968 0:00,M,F,lauren41@adventure-works.com,100000,2,Bachelors,Management,1,2,4785 Scott Street,9/17/2003 0:00,1-2 Miles
21013,11013,Ian,Jenkins,8/6/1968 0:00,M,M,ian47@adventure-works.com,100000,2,Bachelors,Management,1,3,7902 Hudson Ave.,10/15/2003 0:00,0-1 Miles
21014,11014,Sydney,Bennett,5/9/1968 0:00,S,F,sydney23@adventure-works.com,100000,3,Bachelors,Management,0,3,9011 Tank Drive,9/24/2003 0:00,1-2 Miles
21015,11015,Chloe,Young,2/27/1979 0:00,S,F,chloe23@adventure-works.com,30000,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,7/22/2003 0:00,5-10 Miles
21016,11016,Wyatt,Hill,4/28/1979 0:00,M,M,wyatt32@adventure-works.com,30000,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,8/13/2003 0:00,5-10 Miles
21017,11017,Shannon,Wang,6/26/1944 0:00,S,F,shannon1@adventure-works.com,20000,4,High School,Skilled Manual,1,2,7330 Saddlehill Lane,7/15/2001 0:00,5-10 Miles
21018,11018,Clarence,Rai,10/9/1944 0:00,S,M,clarence32@adventure-works.com,30000,2,Partial College,Clerical,1,2,244 Rivewview,7/20/2001 0:00,5-10 Miles
21019,11019,Luke,Lal,3/7/1978 0:00,S,M,luke18@adventure-works.com,40000,0,High School,Skilled Manual,0,2,7832 Landing Dr,8/16/2003 0:00,5-10 Miles
21020,11020,Jordan,King,9/20/1978 0:00,S,M,jordan73@adventure-works.com,40000,0,High School,Skilled Manual,0,2,7156 Rose Dr.,7/2/2003 0:00,1-2 Miles
21021,11021,Destiny,Wilson,9/3/1978 0:00,S,F,destiny7@adventure-works.com,40000,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,7/27/2003 0:00,1-2 Miles
21022,11022,Ethan,Zhang,10/12/1978 0:00,M,M,ethan20@adventure-works.com,40000,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,7/24/2003 0:00,5-10 Miles
21023,11023,Seth,Edwards,10/11/1978 0:00,M,M,seth46@adventure-works.com,40000,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,8/21/2003 0:00,1-2 Miles
21024,11024,Russell,Xie,9/17/1978 0:00,M,M,russell7@adventure-works.com,60000,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,12/29/2003 0:00,5-10 Miles
21025,11025,Alejandro,Beck,12/23/1945 0:00,M,M,alejandro45@adventure-works.com,10000,2,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,7/9/2001 0:00,1-2 Miles
21026,11026,Harold,Sai,4/3/1946 0:00,S,M,harold3@adventure-works.com,30000,2,Partial College,Clerical,0,2,8211 Leeds Ct.,7/26/2001 0:00,1-2 Miles
21027,11027,Jessie,Zhao,12/7/1946 0:00,M,M,jessie16@adventure-works.com,30000,2,Partial College,Clerical,1,2,213 Valencia Place,7/19/2001 0:00,5-10 Miles
21028,11028,Jill,Jimenez,4/11/1946 0:00,M,F,jill13@adventure-works.com,30000,2,Partial College,Clerical,1,2,9111 Rose Ann Ave,7/29/2001 0:00,1-2 Miles
21029,11029,Jimmy,Moreno,12/21/1946 0:00,M,M,jimmy9@adventure-works.com,30000,2,Partial College,Clerical,1,2,6385 Mark Twain,7/22/2001 0:00,1-2 Miles
21030,11030,Bethany,Yuan,2/22/1947 0:00,M,F,bethany10@adventure-works.com,10000,2,Partial High School,Clerical,1,2,636 Vine Hill Way,8/8/2001 0:00,1-2 Miles
21031,11031,Theresa,Ramos,8/22/1947 0:00,M,F,theresa13@adventure-works.com,20000,4,High School,Skilled Manual,1,2,6465 Detroit Ave.,8/4/2001 0:00,1-2 Miles
21032,11032,Denise,Stone,6/11/1947 0:00,M,F,denise10@adventure-works.com,20000,4,High School,Skilled Manual,1,2,626 Bentley Street,8/21/2001 0:00,1-2 Miles
21033,11033,Jaime,Nath,9/23/1947 0:00,M,M,jaime41@adventure-works.com,20000,4,High School,Skilled Manual,1,2,5927 Rainbow Dr,8/18/2001 0:00,5-10 Miles
21034,11034,Ebony,Gonzalez,6/19/1947 0:00,M,F,ebony19@adventure-works.com,20000,4,High School,Skilled Manual,1,2,5167 Condor Place,8/4/2001 0:00,5-10 Miles
21035,11035,Wendy,Dominguez,2/24/1948 0:00,M,F,wendy12@adventure-works.com,10000,2,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,8/9/2001 0:00,1-2 Miles
21036,11036,Jennifer,Russell,12/18/1978 0:00,M,F,jennifer93@adventure-works.com,60000,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,7/26/2003 0:00,1-2 Miles
21037,11037,Chloe,Garcia,11/27/1977 0:00,S,F,chloe27@adventure-works.com,40000,0,Partial High School,Clerical,0,2,8915 Woodside Way,7/24/2003 0:00,5-10 Miles
21038,11038,Diana,Hernandez,3/23/1948 0:00,M,F,diana2@adventure-works.com,10000,2,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,8/10/2001 0:00,5-10 Miles
21039,11039,Marc,Martin,12/17/1948 0:00,M,M,marc3@adventure-works.com,30000,3,Partial College,Clerical,1,2,9353 Creekside Dr.,8/10/2001 0:00,5-10 Miles
21040,11040,Jesse,Murphy,8/1/1977 0:00,M,M,jesse15@adventure-works.com,30000,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,10/5/2003 0:00,1-2 Miles
21041,11041,Amanda,Carter,10/16/1977 0:00,M,F,amanda53@adventure-works.com,60000,0,Partial College,Skilled Manual,1,2,5826 Escobar,7/18/2003 0:00,1-2 Miles
21042,11042,Megan,Sanchez,6/13/1977 0:00,M,F,megan28@adventure-works.com,70000,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,7/25/2003 0:00,0-1 Miles
21043,11043,Nathan,Simmons,2/24/1976 0:00,M,M,nathan11@adventure-works.com,60000,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,11/9/2003 0:00,5-10 Miles
21044,11044,Adam,Flores,5/24/1949 0:00,M,M,adam10@adventure-works.com,20000,2,Partial High School,Clerical,1,2,6935 Candle Dr,8/31/2001 0:00,1-2 Miles
21045,11045,Leonard,Nara,5/19/1950 0:00,S,M,leonard18@adventure-works.com,30000,3,High School,Skilled Manual,0,2,7466 La Vista Ave.,10/12/2003 0:00,1-2 Miles
21046,11046,Christine,Yuan,3/22/1950 0:00,M,F,christine4@adventure-works.com,30000,3,High School,Skilled Manual,1,2,2356 Orange St,8/9/2001 0:00,5-10 Miles
21047,11047,Jaclyn,Lu,2/27/1950 0:00,M,F,jaclyn12@adventure-works.com,30000,3,High School,Skilled Manual,0,2,2812 Mazatlan,8/6/2001 0:00,1-2 Miles
21048,11048,Jeremy,Powell,11/22/1950 0:00,M,M,jeremy26@adventure-works.com,30000,3,High School,Skilled Manual,1,2,1803 Potomac Dr.,8/13/2001 0:00,5-10 Miles
21049,11049,Carol,Rai,7/18/1980 0:00,S,F,carol8@adventure-works.com,40000,0,Partial High School,Clerical,1,2,6064 Madrid,9/10/2003 0:00,5-10 Miles
21050,11050,Alan,Zheng,9/7/1951 0:00,M,M,alan23@adventure-works.com,30000,3,High School,Skilled Manual,1,2,2741 Gainborough Dr.,8/23/2001 0:00,5-10 Miles
21051,11051,Daniel,Johnson,8/4/1951 0:00,S,M,daniel18@adventure-works.com,30000,3,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,7/1/2004 0:00,1-2 Miles
21052,11052,Heidi,Lopez,8/7/1951 0:00,S,F,heidi19@adventure-works.com,40000,2,Partial College,Clerical,0,2,2514 Via Cordona,8/20/2001 0:00,5-10 Miles
21053,11053,Ana,Price,8/20/1980 0:00,M,F,ana0@adventure-works.com,60000,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,7/21/2003 0:00,1-2 Miles
21054,11054,Deanna,Munoz,3/10/1952 0:00,M,F,deanna33@adventure-works.com,40000,2,Partial College,Skilled Manual,1,2,5825 B Way,8/6/2001 0:00,5-10 Miles
21055,11055,Gilbert,Raje,3/5/1952 0:00,M,M,gilbert35@adventure-works.com,40000,2,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,8/3/2001 0:00,5-10 Miles
21056,11056,Michele,Nath,4/3/1953 0:00,M,F,michele19@adventure-works.com,40000,3,Partial College,Skilled Manual,1,2,5464 Janin Pl.,8/29/2001 0:00,5-10 Miles
21057,11057,Carl,Andersen,10/12/1953 0:00,M,M,carl12@adventure-works.com,70000,2,Graduate Degree,Management,1,2,6930 Lake Nadine Place,8/25/2001 0:00,1-2 Miles
21058,11058,Marc,Diaz,4/27/1954 0:00,M,M,marc6@adventure-works.com,80000,2,Partial College,Skilled Manual,1,2,6645 Sinaloa,9/9/2001 0:00,1-2 Miles
21059,11059,Ashlee,Andersen,4/1/1954 0:00,S,F,ashlee19@adventure-works.com,80000,2,Partial College,Skilled Manual,1,2,8255 Highland Road,8/22/2003 0:00,5-10 Miles
21060,11060,Jon,Zhou,3/17/1954 0:00,M,M,jon28@adventure-works.com,80000,2,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,9/19/2001 0:00,5-10 Miles
21061,11061,Todd,Gao,2/27/1954 0:00,M,M,todd14@adventure-works.com,80000,2,Partial College,Skilled Manual,1,2,8808 Geneva Ave,9/13/2001 0:00,5-10 Miles
21062,11062,Noah,Powell,9/2/1975 0:00,M,M,noah5@adventure-works.com,40000,0,High School,Skilled Manual,1,2,9794 Marion Ct,7/11/2003 0:00,5-10 Miles
